7zip 24.09-3
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250127.1-1
accounts-qml-module 0.7-6
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adobe-source-han-sans-jp-fonts 2.004-2
adobe-source-han-serif-jp-fonts 2.003-1
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.2-1
alsa-lib 1.2.14-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
aom 3.12.1-1
appstream 1.0.5-2
appstream-glib 0.8.3-2
apr 1.7.5-3
apr-util 1.6.3-2
aquamarine 0.8.0-4
archlinux-keyring 20250430.1-1
archlinux-xdg-menu 0.7.6.6-2
argon2 20190702-6
aribb24 1.0.3-4
at-spi2-core 2.56.2-1
atkmm 2.28.4-1
attica 6.13.0-1
attr 2.5.2-1
audacity 1:3.7.3-2
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
babl 0.1.112-1
baloo 6.13.0-1
baloo-widgets 25.04.0-1
base 3-2
base-devel 1-2
bash 5.2.037-3
binutils 2.44+r94+gfe459e33c676-1
bison 3.8.2-8
blas 3.12.1-2
bluetui 0.6-1
bluez 5.82-1
bluez-libs 5.82-1
bluez-utils 5.82-1
bolt 0.9.8-1
boost 1.88.0-2
boost-libs 1.88.0-2
breeze-icons 6.13.0-1
brotli 1.1.0-3
btop 1.4.2-1
btrfs-progs 6.14-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.111-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cava 0.10.4-3
cblas 3.12.1-2
cdparanoia 10.2-9
chromaprint 1.5.1-10
chrpath 0.17-1
cifs-utils 7.3-1
clang 19.1.7-2
cliphist 1:0.6.1-1
clucene 2.3.3.4-16
cmake 4.0.1-2
compiler-rt 19.1.7-1
composefs 1.0.7-1
confuse 3.3-4
convertlit 1.8-12
coreutils 9.7-1
cowsay 3.8.4-1
cpio 2.15-2
cppdap 1.58.0-2
cryptsetup 2.7.5-2
curl 8.13.0-2
dav1d 1.5.1-1
davinci-resolve-studio 19.1.3-2
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.114-1
dbus-units 36-4
dconf 0.40.0-3
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
dhcping 1.2-4
diffutils 3.12-2
discord 1:0.0.93-1
dkms 3.1.8-1
dnsmasq 2.91-1
dnssec-anchors 20190629-4
dolphin 25.04.0-2
dotnet-host 9.0.4.sdk105-1
dotnet-runtime 9.0.4.sdk105-1
dotnet-runtime-8.0 8.0.15.sdk115-1
dotnet-sdk 9.0.4.sdk105-1
dotnet-targeting-pack 9.0.4.sdk105-1
double-conversion 3.3.1-1
doxygen 1.13.2-1
dragon-drop 1.2.0-2
duktape 2.7.0-7
dunst 1.12.2-1
e2fsprogs 1.47.2-2
ebook-tools 0.2.2-9
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2.1-1
egl-wayland 4:1.1.19-1
egl-x11 1.0.1-1
eglexternalplatform 1.2.1-1
enchant 2.8.2-2
exiv2 0.28.5-1
expat 2.7.1-1
extra-cmake-modules 6.13.0-1
faad2 2.11.2-1
fakeroot 1.37.1.1-1
fastfetch 2.42.0-3
fcft 3.3.1-1
fcitx5 5.1.12-1
fcitx5-configtool 5.1.9-1
fcitx5-gtk 5.1.3-1
fcitx5-mozc 2.31.5810.102.gb091429-1
fcitx5-qt 5.1.9-4
fd 10.2.0-1
ffmpeg 2:7.1.1-1
ffmpeg4.4 4.4.5-5
fftw 3.3.10-7
file 5.46-4
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 138.0.1-1
flac 1.5.0-1
flashrom 1.5.1-1
flatpak 1:1.16.0-3
flex 2.6.4-5
fluidsynth 2.4.5-3
fmt 11.1.4-1
fontconfig 2:2.16.2-1
foot 1.22.3-1
fortune-mod 3.22.0-1
freeglut 3.6.0-1
