adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adobe-source-han-sans-jp-fonts 2.005-2
adobe-source-han-serif-jp-fonts 2.003-2
alsa-utils 1.2.16-1
amd-ucode 20260910-2
anki 26.09-1
appstream-glib 0.8.4-1
apr-util 1.6.5-1
archlinux-xdg-menu 0.7.7-1
ardour 9.8-1
aribb24 1.0.3-4
audacity 1:3.7.9-1
base 3-3
base-devel 1-2
bind 9.20.27-1
blender 17:5.2.2-1
bluetui 0.8.1-2
bluez-utils 5.87-2
btop 1.4.7-1
calf 0.90.9-2
cantarell-fonts 1:0.311-1
cava 1.0.0-1
chromium 153.0.8010.36-1
cliphist 1:0.7.0-2
ddcutil 3.0.1-1
dhcping 1.2-4
dotnet-runtime-8.0 8.0.31.sdk131-1
dotnet-sdk 10.0.12.sdk112-1
downgrade 12.0.2-1
drm-info 2.10.0-1
dunst 1.13.2-2
easyeffects 8.2.9-1
efitools 1.9.2-7
egl-gbm 1.1.4-1
egl-wayland 4:1.1.22-1
egl-x11 1.0.6-1
exfat-utils 1.4.0-4
extra-cmake-modules 6.30.0-1
fastfetch 2.68.1-1
fcitx5-gtk 5.1.7-1
fcitx5-hazkey-bin 0.2.1-2
fcitx5-mozc-ut 3.34.6239-2
fd 10.5.0-3
ffmpeg4.4 4.4.8-5
ffmpegthumbs 26.08.1-1
firefox 155.0.1-1
firefox-i18n-ja 155.0.1-1
fish 4.9.3-1
foot 1.28.0-2
fortune-mod 3.26.1-1
fuzzel 1.15.0-1
fzf 0.74.4-1
gamescope 3.16.28-1
gimp 3.2.6-1
git 2.55.0-1
gnome-themes-extra 1:3.28-1
go 2:1.27.1-1
gperf 3.3-2
gping 1.21.0-1
grub 2:2.14-1
gvfs-afc 1.60.3-1
gvfs-gphoto2 1.60.3-1
gwenview 26.08.1-1
hyprland 0.56.2-3
hyprlauncher 0.1.6-8
hyprlock 0.9.6-3
hyprpaper 0.8.4-8
hyprpicker 0.4.7-4
hyprpolkitagent 0.1.3-10
hyprpwcenter 0.1.2-8
hyprshot 1.3.0-4
hyprshutdown 0.1.1-7
ifuse 1.2.0-1
inkscape 1.4.4-6
jellyfin-server 10.11.11-1
jp2a 1.3.3-1
kcompletion5 5.116.0-2
kcrash5 5.116.0-2
kdenlive 26.08.1-1
kguiaddons5 5.116.0-2
kitemviews5 5.116.0-2
kitty 0.48.2-1
krita 6.0.3-2
libreoffice-fresh 26.8.0-2
libspng 0.7.4-4
linux 7.2.6.arch2-1
linux-firmware 20260910-2
lshw B.02.20-3
lsp-plugins-lv2 1.2.35-1
lua51 5.1.5-13
luarocks 3.13.0-5
lxappearance 0.6.4-3
lxc 1:7.0.0-2
misfortune 0.1.2.1-212
mozc-ut 3.34.6239.20260701-1
ncdu 2.9.2-1
neovim 0.12.5-1
network-manager-applet 1.36.0-2
networkmanager 1.58.1-1
nfs-utils 2.9.2-1
nmap 7.991-1
nodejs 26.8.2-1
noto-fonts 1:2026.09.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.09.01-1
nwg-look 1.1.1-3
obs-cmd 1.0.2-1
obs-studio 32.2.2-1
osu-lazer-bin 2026.804.2-1
otf-ipaexfont 004.01-5
otf-ipafont 003.03-9
paru 2.1.0-2
paru-debug 2.1.0-2
pavucontrol 1:6.2-1
pipewire 1:1.6.8-1
polkit-kde-agent 6.7.5-1
prismlauncher 11.0.3-2
python-breathe 5.0.0a5-3
python-cheetah3 3.4.0.post5-1
python-coverage 7.16.1-1
python-httplib2 0.32.0-1
python-nose 1.3.7-19
python-pymongo 4.16.0-2
python-pyqt5 5.15.11-7
python-pyqt6-3d 6.11.0-1
python-pyqt6-charts 6.11.0-1
python-pyqt6-datavisualization 6.11.0-1
python-pyqt6-graphs 6.11.0-1
python-pyqt6-networkauth 6.11.0-1
python-setuptools-scm 10.2.3-1
python-sphinx_rtd_theme 3.1.0-1
python-systemd 236-1
python-wand 0.7.2-1
qbittorrent 5.2.3-3
qpwgraph 1.0.4-1
qt5-imageformats 5.15.19+kde+r2-1
qt5-quickcontrols2 5.15.19+kde+r5-1
qt5ct 1.9-2
qt6-examples 6.11.2-1
qt6-grpc 6.11.2-4
qt6-languageserver 6.11.2-1
qt6-lottie 6.11.2-1
qt6-quick3dphysics 6.11.2-1
qt6-quickeffectmaker 6.11.2-1
qt6-virtualkeyboard 6.11.2-1
qt6ct 0.11-8
qtraw 1.1-1
quadcastrgb 1.0.2-2
quickshell 0.3.1-1
rapidjson 1.1.0-6
reapack 1.2.6-3
reaper 7.80-1
rust-bindgen 0.73.2-1
satty 0.22.0-1
sbctl 0.18-2
simdjson 1:4.6.11-1
spotify-launcher 0.6.6-2
steam 1.0.0.87-3
sws 2.14.0.7-2
syncplay 1.7.6-1
tailscale 1.102.4-1
thunar 4.20.10-1
thunar-archive-plugin 0.6.0-1
thunar-volman 4.20.0-2
tmux 3.7_c-1
torbrowser-launcher 0.3.9-1
traceroute 2.1.6-1
ttf-jetbrains-mono-nerd 3.5.1-2
ttf-sazanami 20040629-11
ttf-vlgothic 20230918-2
usbmuxd 1.1.1-4
v4l2loopback-dkms 0.15.4-2
vopono-bin 1.0.1-1
vulkan-headers 1:1.4.357.0-1
