7zip 25.01-1
a52dec 0.8.0-2
aalib 1.4rc5-19
abseil-cpp 20250814.1-1
accounts-qml-module 0.7-6
acl 2.3.2-1
acpica 20250404-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adobe-source-han-sans-jp-fonts 2.005-1
adobe-source-han-serif-jp-fonts 2.003-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alembic 1.8.10-1
alsa-card-profiles 1:1.4.9-1
alsa-lib 1.2.14-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
amd-ucode 20251111-1
aom 3.13.1-1
appstream 1.1.1-1
appstream-glib 0.8.3-2
apr 1.7.6-1
apr-util 1.6.3-2
aquamarine 0.9.5-4
archlinux-keyring 20251116-1
archlinux-xdg-menu 0.7.6.6-2
argon2 20190702-6
aribb24 1.0.3-4
at-spi2-core 2.58.1-2
atkmm 2.28.4-1
attica 6.20.0-1
attr 2.5.2-1
audacity 1:3.7.5-1
audit 4.1.2-1
augeas 1.14.1-4
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
babl 0.1.116-1
baloo 6.20.0-1
baloo-widgets 25.08.3-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bind 9.20.16-1
binutils 2.45.1-1
bison 3.8.2-8
blas 3.12.1-2
blender 17:4.5.4-1
blosc 1.21.6-2
bluetui 0.8.0-1
bluez 5.84-2
bluez-libs 5.84-2
bluez-utils 5.84-2
boost 1.89.0-3
boost-libs 1.89.0-3
breeze-icons 6.20.0-1
brotli 1.1.0-3
btop 1.4.5-1
btrfs-progs 6.17.1-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.117-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-2
cantarell-fonts 1:0.303.1-2
capstone 5.0.6-1
cava 0.10.6-1
cblas 3.12.1-2
cdparanoia 10.2-9
cdrtools 3.02a09-6
chromaprint 1.6.0-2
chromium 142.0.7444.175-1
chrpath 0.17-1
cifs-utils 7.4-1
clang 21.1.5-1
cli11 2.6.1-1
cliphist 1:0.7.0-1
clucene 2.3.3.4-16
cmake 4.2.0-1
comgr 2:6.4.4-2
compiler-rt 21.1.5-1
composefs 1.0.8-1
confuse 3.3-4
convertlit 1.8-13
coreutils 9.9-1
cowsay 3.8.4-1
cpio 2.15-3
cppdap 1.58.0-2
cryptsetup 2.8.1-1
curl 8.17.0-2
cython 3.2.1-1
dav1d 1.5.2-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dbus-units 37-2
dconf 0.49.0-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.36-2
dhcpcd 10.3.0-1
dhcping 1.2-4
diffutils 3.12-2
dkms 3.3.0-1
dnsmasq 2.91-1
dnssec-anchors 20250524-1
dos2unix 7.5.3-1
dosfstools 4.2-5
dotnet-host 9.0.9.sdk110-1
dotnet-runtime 9.0.9.sdk110-1
dotnet-runtime-8.0 8.0.20.sdk120-1
dotnet-sdk 9.0.9.sdk110-1
dotnet-targeting-pack 9.0.9.sdk110-1
double-conversion 3.3.1-1
downgrade 11.5.5-1
doxygen 1.15.0-1
draco 1.5.7-1
dtc 1.7.2-4
duktape 2.7.0-7
dunst 1.13.0-1
e2fsprogs 1.47.3-1
ebook-tools 0.2.2-9
editorconfig-core-c 0.12.10-1
edk2-ovmf 202508-1
efibootmgr 18-3
efitools 1.9.2-6
efivar 39-1
egl-gbm 1.1.2.1-1
egl-wayland 4:1.1.20-1
egl-x11 1.0.3-1
eglexternalplatform 1.2.1-1
ell 0.80-1
embree 4.4.0-1
